Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
01.png,https://drive.google.com/file/d/1hTa5JV0DtUK2z9c_7aBHM8pScbCzcfIE/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
02.png,https://drive.google.com/file/d/1qDdx5tTKrEES6TRsTpORSExfVRSZtK3N/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
03.png,https://drive.google.com/file/d/1zS3d5m9oZpUoE_BeQ5M2exEXXhPtFE27/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
04.png,https://drive.google.com/file/d/1FeTv-WVQDf38wToxeYUDqMXZuiYDT7WF/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
05.png,https://drive.google.com/file/d/10LU2263EslIYuVk-h2dRHT2X8aPsBkZ9/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
06.png,https://drive.google.com/file/d/1KRW_uUVZ6Zdak8L0FEkrK1ZBTigR_mpm/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
07.png,https://drive.google.com/file/d/1ZRY6ZeVBXJjilZ6htfCxG9sZiqQK_EUE/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
08.png,https://drive.google.com/file/d/1MSn6nLBFheEGdB0_Xz2LRoyHgBRo2nbp/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
09.png,https://drive.google.com/file/d/1VjrGmGmpNGXmu6VLIVktFuaDlJ_UD-bT/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
10.png,https://drive.google.com/file/d/1tRX0S8_y62lUii-e5muuUAIPx37RNwcE/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
11.png,https://drive.google.com/file/d/1L480JJhCx29UkBE0xNwP2glkwCn7n9hu/view?usp=sharing,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
